Date,Time,CH01,CH02,CH03,CH04,CH05,CH06
4/9/2026,17:55:19,0,0,0,0,0,1
4/9/2026,17:55:24,0,0,0,0,0,1
4/9/2026,17:55:29,0,0,0,0,0,1
4/9/2026,17:55:34,0,0,0,0,0,1
4/9/2026,17:55:39,0,0,0,0,0,1
4/9/2026,17:55:44,0,0,0,0,0,1
4/9/2026,17:55:49,0,0,0,0,0,1
4/9/2026,17:55:54,0,0,0,0,0,1
4/9/2026,17:55:59,0,0,0,0,0,1
4/9/2026,17:56:04,0,0,0,0,0,1
4/9/2026,17:56:08,0,0,0,0,0,0
4/9/2026,17:56:09,0,0,0,0,0,1
4/9/2026,17:56:14,0,0,0,0,0,1
4/9/2026,17:56:19,0,0,0,0,0,1
4/9/2026,17:56:24,0,0,0,0,0,1
4/9/2026,17:56:29,0,0,0,0,0,1
4/9/2026,17:56:34,0,0,0,0,0,1
4/9/2026,17:56:39,0,0,0,0,0,1
4/9/2026,17:56:44,0,0,0,0,0,1
4/9/2026,17:56:49,0,0,0,0,0,1
4/9/2026,17:56:54,0,0,0,0,0,1
4/9/2026,17:56:59,0,0,0,0,0,1
4/9/2026,17:57:04,0,0,0,0,0,1
4/9/2026,17:57:08,0,0,0,0,0,0
4/9/2026,17:57:09,0,0,0,0,0,1
4/9/2026,17:57:14,0,0,0,0,0,1
4/9/2026,17:57:19,0,0,0,0,0,1
4/9/2026,17:57:24,0,0,0,0,0,1
4/9/2026,17:57:29,0,0,0,0,0,1
4/9/2026,17:57:34,0,0,0,0,0,1
4/9/2026,17:57:39,0,0,0,0,0,1
4/9/2026,17:57:44,0,0,0,0,0,1
4/9/2026,17:57:49,0,0,0,0,0,1
4/9/2026,17:57:54,0,0,0,0,0,1
4/9/2026,17:57:59,0,0,0,0,0,1
4/9/2026,17:58:04,0,0,0,0,0,1
4/9/2026,17:58:08,0,0,0,0,0,0
4/9/2026,17:58:09,0,0,0,0,0,1
4/9/2026,17:58:14,0,0,0,0,0,1
4/9/2026,17:58:19,0,0,0,0,0,1
4/9/2026,17:58:24,0,0,0,0,0,1
4/9/2026,17:58:29,0,0,0,0,0,1
4/9/2026,17:58:34,0,0,0,0,0,1
4/9/2026,17:58:39,0,0,0,0,0,1
4/9/2026,17:58:44,0,0,0,0,0,1
4/9/2026,17:58:49,0,0,0,0,0,1
4/9/2026,17:58:54,0,0,0,0,0,1
4/9/2026,17:58:59,0,0,0,0,0,1
4/9/2026,17:59:04,0,0,0,0,0,1
4/9/2026,17:59:08,0,0,0,0,0,0
4/9/2026,17:59:09,0,0,0,0,0,1
4/9/2026,17:59:14,0,0,0,0,0,1
4/9/2026,17:59:19,0,0,0,0,0,1
4/9/2026,17:59:24,0,0,0,0,0,1
4/9/2026,17:59:29,0,0,0,0,0,1
4/9/2026,17:59:34,0,0,0,0,0,1
4/9/2026,17:59:39,0,0,0,0,0,1
4/9/2026,17:59:44,0,0,0,0,0,1
4/9/2026,17:59:49,0,0,0,0,0,1
4/9/2026,17:59:54,0,0,0,0,0,1
4/9/2026,17:59:59,0,0,0,0,0,1
4/9/2026,18:00:04,0,0,0,0,0,1
4/9/2026,18:00:08,0,0,0,0,0,0
4/9/2026,18:00:09,0,0,0,0,0,1
4/9/2026,18:00:14,0,0,0,0,0,1
4/9/2026,18:00:19,0,0,0,0,0,1
4/9/2026,18:00:24,0,0,0,0,0,1
4/9/2026,18:00:29,0,0,0,0,0,1
4/9/2026,18:00:34,0,0,0,0,0,1
4/9/2026,18:00:39,0,0,0,0,0,1
4/9/2026,18:00:44,0,0,0,0,0,1
4/9/2026,18:00:49,0,0,0,0,0,1
4/9/2026,18:00:54,0,0,0,0,0,1
4/9/2026,18:00:59,0,0,0,0,0,1
4/9/2026,18:01:04,0,0,0,0,0,1
4/9/2026,18:01:08,0,0,0,0,0,0
4/9/2026,18:01:09,0,0,0,0,0,1
4/9/2026,18:01:14,0,0,0,0,0,1
4/9/2026,18:01:19,0,0,0,0,0,1
4/9/2026,18:01:24,0,0,0,0,0,1
4/9/2026,18:01:29,0,0,0,0,0,1
4/9/2026,18:01:34,0,0,0,0,0,1
4/9/2026,18:01:39,0,0,0,0,0,1
4/9/2026,18:01:44,0,0,0,0,0,1
4/9/2026,18:01:49,0,0,0,0,0,1
4/9/2026,18:01:54,0,0,0,0,0,1
4/9/2026,18:01:59,0,0,0,0,0,1
4/9/2026,18:02:04,0,0,0,0,0,1
4/9/2026,18:02:08,0,0,0,0,0,0
4/9/2026,18:02:09,0,0,0,0,0,1
4/9/2026,18:02:14,0,0,0,0,0,1
4/9/2026,18:02:19,0,0,0,0,0,1
4/9/2026,18:02:24,0,0,0,0,0,1
4/9/2026,18:02:29,0,0,0,0,0,1
4/9/2026,18:02:34,0,0,0,0,0,1
4/9/2026,18:02:39,0,0,0,0,0,1
4/9/2026,18:02:44,0,0,0,0,0,1
4/9/2026,18:02:49,0,0,0,0,0,1
4/9/2026,18:02:54,0,0,0,0,0,1
4/9/2026,18:02:59,0,0,0,0,0,1
4/9/2026,18:03:04,0,0,0,0,0,1
4/9/2026,18:03:08,0,0,0,0,0,0
4/9/2026,18:03:09,0,0,0,0,0,1
4/9/2026,18:03:14,0,0,0,0,0,1
4/9/2026,18:03:19,0,0,0,0,0,1
4/9/2026,18:03:24,0,0,0,0,0,1
4/9/2026,18:03:29,0,0,0,0,0,1
4/9/2026,18:03:34,0,0,0,0,0,1
4/9/2026,18:03:39,0,0,0,0,0,1
4/9/2026,18:03:44,0,0,0,0,0,1
4/9/2026,18:03:49,0,0,0,0,0,1
4/9/2026,18:03:54,0,0,0,0,0,1
